feature,coefficient
grid,-0.14376083852186533
driver_points,0.00997625172362731
driver_standings_pos,-0.3481071884910958
driver_wins,-0.1103073187817575
constructor_points,-0.004244465224852706
constructor_standings_pos,0.004455753362761903
constructor_wins,0.09460668396218537
quali_position,0.001729509418578584
year,0.0008166838476335639
round,-0.02632329528889239
