feature,importance
driver_standings_pos,0.32885113359426577
grid,0.11200973966563524
driver_wins,0.10990498112009173
constructor_standings_pos,0.10585448271282946
driver_points,0.10483671041727974
constructor_wins,0.05083558282157587
constructor_points,0.049241095265715525
year,0.04687518212684298
round,0.04687429645801148
quali_position,0.044716795817752196
